date,continent,grand_prix,circuit,winner_name,team,time,laps,year
1961-05-14,Europe,Monaco,Circuit de Monaco,Stirling Moss,Lotus Climax,02:45:50,100.0,1961
1961-05-22,Europe,Netherlands,Circuit Zandvoort,Wolfgang von Trips,Ferrari,02:01:52,75.0,1961
1961-06-18,Europe,Belgium,Circuit de Spa Francorchamps,Phil Hill,Ferrari,02:03:03,30.0,1961
1961-07-02,Europe,France,Circuit de Reims Gueux,Giancarlo Baghetti,Ferrari,02:14:17,52.0,1961
1961-07-15,Europe,Great Britain,Aintree Circuit,Wolfgang von Trips,Ferrari,02:40:53,75.0,1961
1961-08-06,Europe,Germany,Nürburgring,Stirling Moss,Lotus Climax,02:18:12,15.0,1961
1961-09-10,Europe,Italy,Autodromo Nazionale di Monza,Phil Hill,Ferrari,02:03:13,43.0,1961
1961-10-08,North America,United States,Watkins Glen International,Innes Ireland,Lotus Climax,02:13:45,100.0,1961
1962-05-20,Europe,Netherlands,Circuit Zandvoort,Graham Hill,BRM,02:11:02,80.0,1962
1962-06-03,Europe,Monaco,Circuit de Monaco,Bruce McLaren,Cooper Climax,02:46:29,100.0,1962
1962-06-17,Europe,Belgium,Circuit de Spa Francorchamps,Jim Clark,Lotus Climax,02:07:32,32.0,1962
1962-07-08,Europe,France,Rouen Les Essarts,Dan Gurney,Porsche,02:07:35,54.0,1962
1962-07-21,Europe,Great Britain,Aintree Circuit,Jim Clark,Lotus Climax,02:26:20,75.0,1962
1962-08-05,Europe,Germany,Nürburgring,Graham Hill,BRM,02:38:45,15.0,1962
1962-09-16,Europe,Italy,Autodromo Nazionale di Monza,Graham Hill,BRM,02:29:08,86.0,1962
1962-10-07,North America,United States,Watkins Glen International,Jim Clark,Lotus Climax,02:07:13,100.0,1962
1962-12-29,Africa,South Africa,Prince George Circuit,Graham Hill,BRM,02:08:03,82.0,1962
1963-05-26,Europe,Monaco,Circuit de Monaco,Graham Hill,BRM,02:41:49,100.0,1963
1963-06-09,Europe,Belgium,Circuit de Spa Francorchamps,Jim Clark,Lotus Climax,02:27:47,32.0,1963
1963-06-23,Europe,Netherlands,Circuit Zandvoort,Jim Clark,Lotus Climax,02:08:13,80.0,1963
1963-06-30,Europe,France,Circuit de Reims Gueux,Jim Clark,Lotus Climax,02:10:54,53.0,1963
1963-07-20,Europe,Great Britain,Silverstone Circuit,Jim Clark,Lotus Climax,02:14:09,82.0,1963
1963-08-04,Europe,Germany,Nürburgring,John Surtees,Ferrari,02:13:06,15.0,1963
1963-09-08,Europe,Italy,Autodromo Nazionale di Monza,Jim Clark,Lotus Climax,02:24:19,86.0,1963
1963-10-06,North America,United States,Watkins Glen International,Graham Hill,BRM,02:19:22,110.0,1963
1963-10-27,North America,Mexico,Autódromo Hermanos Rodríguez,Jim Clark,Lotus Climax,02:09:52,65.0,1963
1963-12-28,Africa,South Africa,Prince George Circuit,Jim Clark,Lotus Climax,02:10:36,85.0,1963
1964-05-10,Europe,Monaco,Circuit de Monaco,Graham Hill,BRM,02:41:19,100.0,1964
1964-05-24,Europe,Netherlands,Circuit Zandvoort,Jim Clark,Lotus Climax,02:07:35,80.0,1964
1964-06-14,Europe,Belgium,Circuit de Spa Francorchamps,Jim Clark,Lotus Climax,02:06:40,32.0,1964
1964-06-28,Europe,France,Rouen Les Essarts,Dan Gurney,Brabham Climax,02:07:49,57.0,1964
1964-07-11,Europe,Great Britain,Brands Hatch,Jim Clark,Lotus Climax,02:15:07,80.0,1964
1964-08-02,Europe,Germany,Nürburgring,John Surtees,Ferrari,02:12:04,15.0,1964
1964-08-23,Europe,Austria,Zeltweg Airfield,Lorenzo Bandini,Ferrari,02:06:18,105.0,1964
1964-09-06,Europe,Italy,Autodromo Nazionale di Monza,John Surtees,Ferrari,02:10:51,78.0,1964
1964-10-04,North America,United States,Watkins Glen International,Graham Hill,BRM,02:16:38,110.0,1964
1964-10-25,North America,Mexico,Autódromo Hermanos Rodríguez,Dan Gurney,Brabham Climax,02:09:50,65.0,1964
1965-01-01,Africa,South Africa,Prince George Circuit,Jim Clark,Lotus Climax,02:06:46,85.0,1965
1965-05-30,Europe,Monaco,Circuit de Monaco,Graham Hill,BRM,02:37:39,100.0,1965
1965-06-13,Europe,Belgium,Circuit de Spa Francorchamps,Jim Clark,Lotus Climax,02:23:34,32.0,1965
1965-06-27,Europe,France,Charade Circuit,Jim Clark,Lotus Climax,02:14:38,40.0,1965
1965-07-10,Europe,Great Britain,Silverstone Circuit,Jim Clark,Lotus Climax,02:05:25,80.0,1965
1965-07-18,Europe,Netherlands,Circuit Zandvoort,Jim Clark,Lotus Climax,02:03:59,80.0,1965
1965-08-01,Europe,Germany,Nürburgring,Jim Clark,Lotus Climax,02:07:52,15.0,1965
1965-09-12,Europe,Italy,Autodromo Nazionale di Monza,Jackie Stewart,BRM,02:04:52,76.0,1965
1965-10-03,North America,United States,Watkins Glen International,Graham Hill,BRM,02:20:36,110.0,1965
1965-10-24,North America,Mexico,Autódromo Hermanos Rodríguez,Richie Ginther,Honda,02:08:32,65.0,1965
1966-05-22,Europe,Monaco,Circuit de Monaco,Jackie Stewart,BRM,02:33:10,100.0,1966
1966-06-12,Europe,Belgium,Circuit de Spa Francorchamps,John Surtees,Ferrari,02:09:11,28.0,1966
1966-07-03,Europe,France,Circuit de Reims Gueux,Jack Brabham,Brabham Repco,01:48:31,48.0,1966
1966-07-16,Europe,Great Britain,Brands Hatch,Jack Brabham,Brabham Repco,02:13:13,80.0,1966
1966-07-24,Europe,Netherlands,Circuit Zandvoort,Jack Brabham,Brabham Repco,02:20:32,90.0,1966
1966-08-07,Europe,Germany,Nürburgring,Jack Brabham,Brabham Repco,02:27:03,15.0,1966
1966-09-04,Europe,Italy,Autodromo Nazionale di Monza,Ludovico Scarfiotti,Ferrari,01:47:14,68.0,1966
1966-10-02,North America,United States,Watkins Glen International,Jim Clark,Lotus BRM,02:09:40,108.0,1966
1966-10-23,North America,Mexico,Autódromo Hermanos Rodríguez,John Surtees,Cooper Maserati,02:06:35,65.0,1966
1967-01-02,Africa,South Africa,Kyalami Grand Prix Circuit,Pedro Rodriguez,Cooper Maserati,02:05:45,80.0,1967
1967-05-07,Europe,Monaco,Circuit de Monaco,Denny Hulme,Brabham Repco,02:34:34,100.0,1967
1967-06-04,Europe,Netherlands,Circuit Zandvoort,Jim Clark,Lotus Ford,02:14:45,90.0,1967
1967-06-18,Europe,Belgium,Circuit de Spa Francorchamps,Dan Gurney,Eagle Weslake,01:40:49,28.0,1967
1967-07-02,Europe,France,Bugatti Au Mans,Jack Brabham,Brabham Repco,02:13:21,80.0,1967
1967-07-15,Europe,Great Britain,Silverstone Circuit,Jim Clark,Lotus Ford,01:59:25,80.0,1967
1967-08-06,Europe,Germany,Nürburgring,Denny Hulme,Brabham Repco,02:05:55,15.0,1967
1967-08-27,North America,Canada,Mosport International Raceway,Jack Brabham,Brabham Repco,02:40:40,90.0,1967
1967-09-10,Europe,Italy,Autodromo Nazionale di Monza,John Surtees,Honda,01:43:45,68.0,1967
1967-10-01,North America,United States,Watkins Glen International,Jim Clark,Lotus Ford,02:03:13,108.0,1967
1967-10-22,North America,Mexico,Autódromo Hermanos Rodríguez,Jim Clark,Lotus Ford,01:59:28,65.0,1967
1968-01-01,Africa,South Africa,Kyalami Grand Prix Circuit,Jim Clark,Lotus Ford,01:53:56,80.0,1968
1968-05-12,Europe,Spain,Circuito Permanente del Jarama,Graham Hill,Lotus Ford,02:15:20,90.0,1968
1968-05-26,Europe,Monaco,Circuit de Monaco,Graham Hill,Lotus Ford,02:00:32,80.0,1968
1968-06-09,Europe,Belgium,Circuit de Spa Francorchamps,Bruce McLaren,McLaren Ford,01:40:02,28.0,1968
1968-06-23,Europe,Netherlands,Circuit Zandvoort,Jackie Stewart,Matra Ford,02:46:11,90.0,1968
1968-07-07,Europe,France,Rouen Les Essarts,Jacky Ickx,Ferrari,02:25:40,60.0,1968
1968-07-20,Europe,Great Britain,Brands Hatch,Jo Siffert,Lotus Ford,02:01:20,80.0,1968
1968-08-04,Europe,Germany,Nürburgring,Jackie Stewart,Matra Ford,02:19:03,14.0,1968
1968-09-08,Europe,Italy,Autodromo Nazionale di Monza,Denny Hulme,McLaren Ford,01:40:14,68.0,1968
1968-09-22,North America,Canada,Circuit Mont Tremblant,Denny Hulme,McLaren Ford,02:27:11,90.0,1968
1968-10-06,North America,United States,Watkins Glen International,Jackie Stewart,Matra Ford,01:59:20,108.0,1968
1968-11-03,North America,Mexico,Autódromo Hermanos Rodríguez,Graham Hill,Lotus Ford,01:56:43,65.0,1968
1969-03-01,Africa,South Africa,Kyalami Grand Prix Circuit,Jackie Stewart,Matra Ford,01:50:39,80.0,1969
1969-05-04,Europe,Spain,Montjuïc circuit,Jackie Stewart,Matra Ford,02:16:53,90.0,1969
1969-05-18,Europe,Monaco,Circuit de Monaco,Graham Hill,Lotus Ford,01:56:59,80.0,1969
1969-06-21,Europe,Netherlands,Circuit Zandvoort,Jackie Stewart,Matra Ford,02:06:42,90.0,1969
1969-07-06,Europe,France,Charade Circuit,Jackie Stewart,Matra Ford,01:56:47,38.0,1969
1969-07-19,Europe,Great Britain,Silverstone Circuit,Jackie Stewart,Matra Ford,01:55:55,84.0,1969
1969-08-03,Europe,Germany,Nürburgring,Jacky Ickx,Brabham Ford,01:49:55,14.0,1969
1969-09-07,Europe,Italy,Autodromo Nazionale di Monza,Jackie Stewart,Matra Ford,01:39:11,68.0,1969
1969-09-20,North America,Canada,Mosport International Raceway,Jacky Ickx,Brabham Ford,01:59:25,90.0,1969
1969-10-05,North America,United States,Watkins Glen International,Jochen Rindt,Lotus Ford,01:57:56,108.0,1969
1969-10-19,North America,Mexico,Autódromo Hermanos Rodríguez,Denny Hulme,McLaren Ford,01:54:08,65.0,1969
1970-03-07,Africa,South Africa,Kyalami Grand Prix Circuit,Jack Brabham,Brabham Ford,01:49:34,80.0,1970
1970-04-19,Europe,Spain,Circuito Permanente del Jarama,Jackie Stewart,March Ford,02:10:58,90.0,1970
1970-05-10,Europe,Monaco,Circuit de Monaco,Jochen Rindt,Lotus Ford,01:54:36,80.0,1970
1970-06-07,Europe,Belgium,Circuit de Spa Francorchamps,Pedro Rodriguez,BRM,01:38:09,28.0,1970
1970-06-21,Europe,Netherlands,Circuit Zandvoort,Jochen Rindt,Lotus Ford,01:50:43,80.0,1970
1970-07-05,Europe,France,Charade Circuit,Jochen Rindt,Lotus Ford,01:55:57,38.0,1970
1970-07-18,Europe,Great Britain,Brands Hatch,Jochen Rindt,Lotus Ford,01:57:02,80.0,1970
1970-08-02,Europe,Germany,Hockenheimring,Jochen Rindt,Lotus Ford,01:42:00,50.0,1970
1970-08-16,Europe,Austria,Red Bull Ring,Jacky Ickx,Ferrari,01:42:17,60.0,1970
1970-09-06,Europe,Italy,Autodromo Nazionale di Monza,Clay Regazzoni,Ferrari,01:39:06,68.0,1970
1970-09-20,North America,Canada,Circuit Mont Tremblant,Jacky Ickx,Ferrari,02:21:18,90.0,1970
1970-10-04,North America,United States,Watkins Glen International,Emerson Fittipaldi,Lotus Ford,01:57:32,108.0,1970
1970-10-25,North America,Mexico,Autódromo Hermanos Rodríguez,Jacky Ickx,Ferrari,01:53:28,65.0,1970
